product_title,original_price,price,sold,shipping_cost,shipping_type,discount_percent,total_cost,outliers_flag
Dresser For Bedroom With 9 Fabric Drawers Wardrobe Steel Frame Assembly Closet For Clothes Storage Display Cabinet Of Furniture,92.48,46.79,600.00,0.00,free shipping,0.494071507,46.79,OK
"Outdoor Conversation Set 4 Pieces Patio Furniture, Wicker Patio Chair Sofa Set w/ Water-Resistant Dark-Brown Cushion & Tempered",335.46,169.72,0.00,0.00,free shipping,0.494071507,169.72,OK
Dresser For Bedroom With 7 Fabric Drawers Organizer Storage Closet Chest Clothes For Living Room Display Cabinet Of Furniture,78.40,39.46,7.00,0.00,free shipping,0.496683673,39.46,OK
"Modern Accent Boucle Chair,Upholstered Tufted Creative Furniture Sofa Couch Lounge Reading Chair for Living Room Home Decorative",221.36,111.99,0.00,0.00,free shipping,0.494071507,111.99,OK
Small Unit Simple Computer Desk Household Wooden Minimalist Tea Table Wooden Minimalist Small Makeup Table Home Furniture,48.82,21.37,1.00,0.00,free shipping,0.562269562,21.37,OK
"3 Pieces Patio Furniture Set, Outdoor Swivel Glider Rocker, Wicker Bistro Set with Rattan Rocking Chair, Glass Top Table",1294.04,123.40,53.00,0.00,free shipping,0.904639733,123.4,OK
"5-Piece Patio Furniture Set Outdoor Couch with Glass Coffee Table and Two Pillows, Outdoor Sectional Conversation Set",391.97,198.31,1.00,0.00,free shipping,0.494071507,198.31,OK
"Living Room Furniture, Modern 3-Piece Including Three-Seater, Loveseat and Single Chair,Dutch Velvet Upholstered Sofa Set",1474.17,734.58,5.00,0.00,free shipping,0.501699261,734.58,OK
TV Stand Dresser For Bedroom With 5 Fabric Drawers Organizer Storage Closet Chest Clothes Storage Display Cabinet Of Furniture,86.89,43.96,3.00,0.00,no tag,0.494071507,43.96,OK
"Outdoor Furniture Set 3 Pieces Wicker Patio Furniture Outdoor Sectional Patio Couch Outdoor Coffee Table,Khaki",461.13,233.30,0.00,0.00,free shipping,0.494071507,233.3,OK
"4 Pieces Patio Furniture Set, Outdoor Rattan Woven Conversation Sectional L-Shaped Sofa with 5 Seater for Backyard",482.62,244.17,1.00,0.00,free shipping,0.494071507,244.17,OK
"Jela kids couch 14PCs luxury, floor sofa modular furniture for adults, Playhouse play set toddlers babies, Modul",470.78,238.18,0.00,0.00,free shipping,0.494071507,238.18,OK
"3/4/5 Piece Boho Outdoor Patio Furniture Sets with Egg Chair and Ice Bucket, Small L Shape Wicker Conversation Sectional Sofa",979.98,495.80,0.00,0.00,free shipping,0.494071507,495.8,OK
"3 PCS Patio Conversation Set, Solid Eucalyptus Wood Frame Outdoor Wicker Furniture Set Bistro Set with Coffee Table",232.56,117.66,0.00,0.00,free shipping,0.494071507,117.66,OK
Modern luxury lounge chair home furniture hotel bedroom lounge chair living room accent chair,1934.82,978.88,0.00,0.00,free shipping,0.494071507,978.88,OK
"Furniture Contemporary Reversible Sectional Sleeper Sectional Sofa with Storage Chaise in Dark Gray Fabric, free shipping",871.55,440.94,0.00,0.00,free shipping,0.494071507,440.94,OK
"Patio Furniture Sets - 3 Pieces Rattan Sofa Set, Outdoor Conversation Set with Tempered Glass Tabletop, Outdoor Furniture Sets",362.30,183.30,0.00,0.00,free shipping,0.494071507,183.3,OK
"Patio Dining Set Outdoor Furniture with 6 Stackable Textilene Chairs and Large Table for Yard, Garden Porch and Poolside, Grey",119.15,60.28,4.00,0.00,free shipping,0.494071507,60.28,OK
7 Pieces Patio Furniture Set - Outdoor Sectional Wicker Rattan Furniture with Cushion and Glass Table Patio Conversation,744.18,376.50,0.00,0.00,free shipping,0.494071507,376.5,OK
"47"" Small Modern Loveseat Couch Sofa, Fabric Upholstered 2-Seat Sofa, Love Seat Furniture with 2 Pillows, Wood Leg Sofas",405.06,204.93,0.00,0.00,free shipping,0.494071507,204.93,OK
7-piece patio furniture set modular wicker outdoor sectional sofa PE rattan outdoor set with pillowtop cushions and coffee table,671.47,331.24,39.00,0.00,free shipping,0.506694268,331.24,OK
Patio Furniture Sets All Weather Outdoor Sectional Sofa Manual Weaving Wicker Rattan Patio Seating Sofas with Cushion & Table,546.82,276.65,0.00,0.00,free shipping,0.494071507,276.65,OK
Office Furniture Computer Stand 42*26cm Adjustable Foldable Laptop Holder Notebook Desks Lap PC Folding Desk Table Vented Stand,56.58,26.03,1000.00,0.00,free shipping,0.539943443,26.03,OK
"4-Piece Outdoor Patio Furniture Set,Wicker Rattan Sectional Sofa Couch with Glass Coffee Table|Black Easy Cleaning and Stronger",634.58,321.05,1.00,0.00,free shipping,0.494071507,321.05,OK
5 Pieces Patio Furniture Set Outdoor Sectional Rattan Daybed Conversation Sofa Set Wicker Couch with & Tempered Glass,434.11,219.63,0.00,0.00,free shipping,0.494071507,219.63,OK
"6Pieces Wicker Patio Furniture Sets Outdoor Conversation Set PE Rattan Sectional Sofa Couch with 30"" Fire Pit Table and Cushions",1136.25,574.86,0.00,0.00,free shipping,0.494071507,574.86,OK
"Aluminum Patio Furniture Set, Modern Patio Conversation Set, All Weather Dark Grey Outdoor Sectional Sofa Set w/Table",983.22,497.44,1.00,0.00,free shipping,0.494071507,497.44,OK
"75"" X 32"" Expandable Dining Table - a Oval Wooden Table Top With Metal Legs Room Furniture Home",755.17,382.06,0.00,0.00,free shipping,0.494071507,382.06,OK
Modern Small Bedside Table with Drawer Lock Nordic Minimalist Bedside Cabinet Storage Cabinets Nightstands for Bedroom Furnitur,98.79,49.39,1.00,0.00,free shipping,0.500050612,49.39,OK
"5 Piece Patio Furniture Set, Outdoor Dining Table Set with L-Shaped Sectional Sofa, 2 Ottomans, Outside Conversation",446.53,225.91,1.00,0.00,free shipping,0.494071507,225.91,OK
"Greesum 3 Pieces Patio Furniture Set Outdoor Conversation Textilene Fabric Chairs for Garden,Balcony, with A Glass Coffee Table",146.60,74.17,0.00,0.00,free shipping,0.494071507,74.17,OK
